id;title;address;coordonnees
1;"La ferme du Mont des Récollets";"1936 route de Steenvoorde 59670 Cassel";50.80243057,2.505012229
2;"Le manoir aux Loups";"300 route de Neuville 59250 Halluin";50.76974222,3.140888214
3;"Jardin botanique du beau Pays";"3091 Avenue F. Mitterrand 62730 Marck";50.95,1.99
4;"Potager des Princes";"17 rue de la Faisanderie 60500 Chantilly";49.1957301,2.475610524
5;"Jardin et parc du château de Compiègne";"place du Général De Gaulle 60200 Compiègne";49.41929542,2.831188291
6;"Jardin des Plantes";"60 boulevard du Jardin des Plantes 80000 Amiens";49.90155962,2.296431586
7;"Jardin du Brûle";"7 rue Roger Froissart 60112 Herchies";49.29181,2.00418
8;"Jardin du Moulin Ventin";"chemin du Moulin 60120 Paillart";49.65756,2.27252
9;"Jardin des cinq roses";"1 place de l'Hôtel de Ville 21240 Talant";47.33960563,4.972401112
10;"Parc du moulin à tan et serres de collections tropicales";"28 chemin de Babie 89100 Sens";48.18588184,3.278228045
11;"Parc du château de Thorigny";"3 rue de la Division Leclerc 89260 Thorigny-sur-Oreuse";48.29261081,3.402639627
12;"Atelier Jardin";"route de Cousance 39270 Cressia";46.529771,5.477024
13;"Parc et potager du château de Montigny-sur-Aube";"2 rue de l’Église 21520 Montigny-sur-Aube";47.9528,4.7785
14;"Jardin potager du château de Digoine";"route de Digoine 71430 Palinges";46.3156,4.1246
15;"Verger de Déduit";"Château de la Trémolière 15380 Anglards-de-Salers";45.2067,2.442278
16;"Parc du château Blanzat";"256, rue de la Libération 63112 Blanzat";45.82709846,3.074079752
17;"Roseraie de Berty";"Largentière 07110 Largentière";44.55081398,4.253001139
18;"La Jaÿsinia";"Station d'écologie végétale 74340 Samoëns";46.08378008,6.725794673
19;"Jardin du musée Hébert";"chemin Hébert 38700 La Tronche";45.205762,5.751556
20;"Parc du domaine de Vizille";"place du Château 38220 Vizille";45.07532667,5.772754177
21;"Jardin du Mas de l'Abri";"Mas de l'Abri Sous Ponteils 30450 Ponteils-et-Bresis";44.40332,3.975765
22;"Jardin des Oules";"Place du château 30700 Saint-Victor des Oules";44.03,4.48
23;"Jardin de la Mothe";"La Mothe 12260 Salles-Courbatiès";44.46705756,2.102771401
24;"Jardin de la poterie Hillen";"Lieu-dit Au bord de la Gimone 65230 Thermes-Magnoac";43.28620351,0.6130182
25;"Parc de la Rochegude";"boulevard Carnot 81000 Albi";43.92738928,2.148284465
26;"Jardin de l’habitation Acajou";"Domaine de L'Acajou 97240 Le François";14.61,-60.89
27;"Domaine d’Emeraude";"Rue Paul Marie Valere 97260 Morne-Rouge";14.77,-61.12
28;"Jardins du Marais";"Hoscas 44410 Herbignac";47.423413,-2.283318
29;"Hortus conclusus du prieuré de Vauboin";"Prieuré de Vauboin 72340 Beaumont-sur-Dême";47.6928422,0.569223762
30;"Parc de l'Auneau";"Domaine de l'Auneau 85110 Chantonnay";46.68041887,-1.107387543
31;"Jardins de Chaligny";"Chaligny 85320 Sainte-Pexine";46.53221822,-1.111205667
32;"Potager du château Colbert";"place du château Colbert 49360 Maulévrier";47.00749,0.7461
33;Camifolia;"11 rue de l’Arzillé – Chemillé 49120 Chemillé-en-Anjou";47.215491,0.733275
34;"Jardin médiéval du château";"12 cour du château 85390 Bazoges-en-Pareds";46.65631,0.91508
35;"Un jardin philosophe";"50 rue Monseigneur Médard Barth 67530 Boersch";48.476,7.44
36;"Le jardin de Marguerite";"2 rue du Verger 67115 Plobsheim";48.47277901,7.724064589
37;"Jardin botanique de l'université Louis Pasteur";"28 rue Goethe 67000 Strasbourg";48.58442186,7.766754627
38;"Parc de Wesserling";"rue du parc 68470 Husseren-Wesserling";47.88530518,6.998848915
39;"Le jardin de mon moulin";"Moulin de la Mazelle 52300 Thonnance-les-Joinville";48.45895043,5.180511028
40;"Jardin d'eau de l’Aubepré";"3, rue Saint-Florentin 54115 Gélaucourt";48.45355616,5.990413427
41;"Jardin des Prairiales";"Château de la Grange 57100 Manom";49.37659098,6.167036891
42;"Jardin d'altitude du Haut-Chitelet";"col de la Schlucht 88400 Xonrupt-Longemer";48.0637909,7.022873461
43;"Parc de Chamarande";"38 rue du Commandant Arnoux 91730 Chamarande";48.51330668,2.220262885
44;"Parc du château Saint-Jean de Beauregard";"Rue du Château 91940 Saint-Jean-de-Beauregard";48.66104995,2.163544893
45;"Domaine de la Malmaison";"15 avenue du Château 92500 Rueil-Malmaison";48.87079561,2.166859433
46;"Ecole du Breuil, jardins et arboretum";"Route de la Ferme 75012 Paris";48.82360886,2.457337976
47;"Domaine national de Champs-sur-Marne";"31 rue de Paris 77420 Champs-sur-Marne";48.85278558,2.603609562
48;"Jardin du Point du Jour";"Le Point du Jour 77510 Verdelot";48.89052571,3.367652893
49;"Jardin du Moulin Jaune";"1 sente du Moulin Nicole 77580 Crécy-la-Chapelle";48.86159907,2.888081297
50;"Jardin de campagne";"13 rue Butel 95810 Grisy-les-Plâtres";49.12816499,2.0511657
51;"Domaine national de Saint-Germain-en-Laye";"place Charles De Gaulle 78100 Saint-Germain-en-Laye";48.89783687,2.096194625
52;"Domaine national du Château de Versailles";"Château de Versailles 78000 Versailles";48.80980283,2.101135254
53;"Jardins familiaux des Petis Bois à Montreuil";"Parcelle Paul Philippe, 1 rue des Petits Bois 78000 Versailles";48.80669388,2.156367302
54;"Parc de Bagatelle";"route de Sèvres 75016 Paris";48.8703,2.2483
55;"Domaine départemental de Méréville";"rue Voltaire 91660 Méréville";48.3195,2.0879
56;"Parc du château de Brécy";"Brecy 14480 Saint-Gabriel-Brécy";49.2789976,-0.565645695
57;"Jardin et roseraie du château de Miserey";"2, rue de l'église 27930 Miserey";49.02093744,1.270551682
58;"Jardin plume";"790 rue de la Plaine 76116 Auzouville-sur-Ry";49.43544244,1.330751181
59;"Shamrock, collection nationale d’hydrangeas";"Route du Manoir d’Ango 76119 Varengeville-sur-mer";49.89,0.99
60;"Jardin du Mesnil";"25, route du Mesnil 76680 Montérolier";49.62,1.34
61;"Arboretum d'Harcourt";"12 rue de la Libération 27800 Harcourt";49.1669,0.4703
62;"Jardin de Beauvallon";"chemin de Beauvallon – Mont Bazin 97100 Basse-Terre";16.005535,-61.727203
63;"Jardin botanique";"Villers 97126 Deshaies";16.29854643,-61.79879308
64;"Parc paysager Petit Canal";"rue du Parc paysager 97131 Petit Canal";16.380674,-61.490314
65;"Jardins du château de Sauvan";"Le Château 04300 Mane";43.93794069,5.766985416
66;"Serre de la Madone";"74 val de Gorbio 06500 Menton";43.77427791,7.475616932
67;"Jardin exotique";"20 Rue du Château 06360 Eze";43.72,7.36
68;"Jardin de la bastide de Romégas";"3992 chemin Saint-Donat Nord 13100 Aix-en-Provence";43.54179025,5.452662706
69;"Parc Borély";"avenue du Prado 13008 Marseille";43.25970012,5.380511284
70;"Parc Saint-Bernard";"montée de Noailles 83400 Hyères";43.12470841,6.128000021
71;"Jardin d'Elie Alexis";"1313 chemin des Baumes 83136 La Roquebrussanne";43.35149407,5.982318521
72;"Jardin de la Magalone";"345 boulevard Michelet 13009 Marseille";43.26160411,5.398361385
73;"Jardin de Vie";"34 rue de l'ancienne forge 17520 Celles";45.60510799,-0.373571366
74;"Jardins du prieuré de Laverré";"15 bis route du Prieuré 86340 Aslonnes";46.44322167,0.333731174
75;"Jardin du château de la Motte";"Château de la Motte 86190 Chalandray";46.66148383,-0.002574921
76;"Jardin Les bambous de Planbuisson";"rue Montaigne 24480 Le Buisson-de-Cadoun";44.84832176,0.905991197
77;"Jardins de l'Imaginaire";"place du Foirail 24120 Terrasson-Lavilledieu";45.1265177,1.303140521
78;"Jardins de Marqueyssac";"Vézac 24220 Vezac";44.82325102,1.162410378
79;"Jardin de Boissonna";"Boissonna 47120 Baleyssagues";44.67524974,0.149373561
80;"Jardin du cloître Notre-Dame";"parvis Jean XXIII 47200 Marmande";44.49746192,0.164119005
81;"Jardins du château de Momas";"Château de Momas 64230 Momas";43.37918711,-0.443197489
82;"Jardins du château de Viven";"chemin du Château 64450 Viven";43.46437468,-0.37084356
83;"Jardin de Liliane";"Le château des Bermondet 87310 St-Laurent-sur-Gorre";45.79372435,0.968492031
84;"Jardin de Pomone";"La Fayolle – 12 rue du Château d'eau 17400 Essouvert";45.98608667,-0.536337867
85;"Parc du domaine de Campagne";"Le Bourg 24260 Campagne";44.9089,0.9713
86;"Parc du château de Caradeuc";"Château de Caradeuc 22830 Plouasne";48.29366546,-1.958237886
87;"Jardin du Kestellic";"Le Kestellic 22220 Plouguiel";48.7994,-3.2261
88;"Jardin de Kerdalo";"Kerdalo 22220 Tredarzec";48.81805476,-3.247725964
89;"Parc botanique de Cornouaille";"Pont-l'abbé 29120 Combrit";47.884075,-4.161805
90;"Parc du château de Montmarin";"Château du Montmarin 35730 Pleurtuit";48.599968,-2.026563
91;"Parc floral d'Apremont-sur-Allier";"Le Bourg 18150 Apremont-sur-Allier";46.90518691,3.047799468
92;"Jardin du Prieuré Notre-Dame d'Orsan";"Orsan 18170 Maisonnais";46.67648811,2.219259739
93;"Jardin du domaine de George Sand";"Domaine de George Sand 36400 Nohant-Vic";46.62509699,1.975049973
94;"Jardins du manoir du Grand Courtoiseau";"Manoir du Grand Courtoiseau 45220 Triguères";47.94669196,2.960933447
95;"Arboretum de la Martinière";"rue du Lavoir 37250 Veigné";47.28671,0.75042
96;"Jardin du donjon de Vez";"Donjon de Vez 60117 Vez";49.26330938,3.001014367
97;"Parc et roseraie du château-fort de Rambures";"8 rue du Château 80140 Rambures";49.9445206,1.707346737
98;"Herbarium des remparts";"36 rue Brandt 80230 Saint-Valery-sur-Somme";50.187616,1.628518
99;"Jardin des ifs";"3 impasse du Vidamé 60380 Gerberoy";49.53374,1.85062
100;Forgeneuve;"Route de Guérigny 58660 Coulanges-les-Nevers";47.00975745,3.197879791
101;"Parc et jardin du château";"2 rue du Château 21410 Barbirey-sur-Ouche";47.25271781,4.755234718
102;"Jardin des rouges vis";"11 rue du Charme 70400 Frahier";47.66470997,6.740401983
103;"Jardin de Landon";"103 avenue de Landon 39100 Dôle";47.10499247,5.487960577
104;"Jardin aquatique Acorus";"14 rue des Corvées 70700 Autoreille";47.3686,5.80722
105;"Parc arboretum de Neuvic d'Ussel";"10 place de la Mairie 19160 Neuvic d'Ussel";45.38490879,2.273802459
106;"Jardins du château de Hautefort";"Le Bourg 24390 Hautefort";45.25968258,1.144890189
107;"Jardin du château de Montréal";"Issac 24400 Issac";45.0366936,0.34299016
108;"Jardin d’Hélys-oeuvre";"domaine des Gissous – route départementale 705 24160 Saint-Médard-d’Excideuil";45.34146808,1.077464819
109;"Parc de Majolan";"avenue du Général de Gaulle 33290 Blanquefort";44.90026776,-0.643901825
110;"Jardin de Siaurac";"Château Siaurac, Ciorac 33500 Néac";44.93649136,-0.183506012
111;"Parc Chavat";"rue Pierre Vincent 33720 Podensac";44.656413,-0.359913
112;"Jardins de la Boirie";"9 rue Centrale – La Boirie 17310 Saint-Pierre d'Oléron";45.94334142,-1.288627759
113;"Jardins de Cistus";"Grenouillon 79150 Argentonnay";46.94,-0.49
114;"Jardins du Gué";"Le Gué de Flais 79390 Lhoumois";46.71091898,-0.145429373
115;"Jardin du château de La Guyonnière";"La Guyonnière 79420 Beaulieu-sous-Parthenay";46.58299328,-0.243844986
116;"Jardin des Vitailles";"Les Vitailles 87500 Saint-Yrieix-la-Perche";45.3024,1.1411
117;"Jardins du prieuré de Salagon";"Prieuré de Salagon 04300 Mane";43.9343061,5.760820359
118;"Jardin de la Villa Fort France";"237 avenue Saint-Exupéry 06130 Grasse";43.66015499,6.926479563
119;"Jardin botanique";"78 avenue de la Corniche fleurie 06200 Nice";43.68489483,7.209539786
120;"Parc Olbius Riquier";"avenue Ambroise Thomas 83400 Hyères";43.11071837,6.136373878
121;"Le Plantier de Costebelle";"714 avenue de la Font des Horts 83400 Hyères";43.09705025,6.122667789
122;"Domaine du Rayol";"avenue des Belges 83820 Le Rayol-Canadel";43.15641228,6.481818259
123;"Jardin blanc et conservatoire des plantes tinctoriales";"La Calade 84360 Lauris";43.74580873,5.312190056
124;"Jardin de la Basse Fontaine";"675 chemin de Sainte Jalle 84110 Puyméras";44.274788,5.129619
125;"Jardins du château d'Opme";"Château d'Opme 63540 Romagnat";45.69204317,3.084486723
126;"La Terre Pimprenelle";"La Terre Pimprenelle 07440 Alboussière";44.9445959,4.729966968
127;"Domaine départemental de Lacroix-Laval";"1171, ave de Lacroix-Laval 69280 Marcy-l’Étoile";45.78847692,4.713534415
128;"Jardin des herbes";"Le Bourg 26700 La Garde Adhémar";44.39257962,4.752174318
129;"Jardin des Cinq sens";"rue du Lac 74140 Yvoire";46.370888,6.325697
130;"Les jardins secrets";"1561, route de Lagnat 74150 Vaulx";45.55,5.59
131;"Parc du château de Canon";"Château de Canon 14270 Mezidon-Canon";49.07865897,-0.094649792
132;"Jardin de Claude Monet";"84 rue Claude Monet 27620 Giverny";49.0755,1.5337
133;"Parc du château de Fontaine-la-Soret";"4, Place de l'église 27550 Fontaine-la-Soret";49.15055747,0.718893707
134;"Jardin du château de Champ-de-Bataille";"place du Château 27110 Le Neubourg";49.144661,0.895972
135;"Parc du manoir de Villers";"30 route de Sahurs 76113 Saint-Pierre-de-Manneville";49.3895262,0.929911137
136;"Jardin des sculptures";"Château du Bois-Guilbert 76750 Bois-Guilbert";49.545888,1.410967
137;"Jardin d’Angélique";"Route de Lyons 76520 Montmain";49.41,1.26
138;"Domaine d'Albizia";"La Vitardière 14240 Livry";49.1226,-0.7803
139;"Jardin de l’Ancienne abbaye Saint-André";"Rue Montée du Fort 30400 Villeneuve-lès-Avignon";43.96,4.8
140;"Jardin des Sambucs";"Le Villaret 30570 Saint-André-de-Majencoules";44.02349577,3.687087893
141;"Parc du Château de Merville";"2 place du Château 31330 Merville";43.71,1.29
142;"Jardin du Grand Rond et jardin royal";"Rond Point Boulingrin 31000 Toulouse";43.59575,1.45045
143;"Parc et jardin du château de Pennautier";"Maison Lorgeril 11610 Pennautier";43.143808,2.19388
144;"Jardin de la Seigneurie";"18 rue du Général De Gaulle 65700 Maubourguet";43.4667,0.0333
145;"Jardin botanique du Col de Saverne";"RD 1004 67700 Saverne";48.75437801,7.322387695
146;"Parc de la Marseillaise";"Route de Soultz 68500 Guebwiller";47.90440422,7.217030525
147;"Parc Alfred Wallach";"rue des Sapins 68400 Riedisheim";47.73666089,7.358002067
148;"Jardin de Silières";"5, rue du Varinot 52600 Cohons";47.789805,5.349008
149;"Le petit Jard";"place de la Libération 51000 Châlons-en-Champagne";48.953367,4.361933
150;"Jardin botanique de La Presle";"La Presle 51480 Nanteuil-la-Forêt";49.13095824,3.918842822
151;"Jardins de l’Horticulture et de la Patte d’Oie, dit ""Parc Schneiter""";"boulevard Louis Roederer 51101 Reims";49.2539506,4.020898193
152;"Parc du château Fléville";"5 rue du Château 54710 Fléville-devant-Nancy";48.62657107,6.202075928
153;"Jardin de Callunes";"5 chemin de la Prelle 88210 Ban-de-Sapt";48.3403224,7.014847621
154;"Parc de la Vallée-aux-Loups";"102 rue Chateaubriand 92290 Chatenay-Malabry";48.7728,2.2644
155;"L'Ile Verte";"34 rue Eugène Sinet 92290 Chatenay-Malabry";48.77283618,2.275725603
156;"Domaine national de Saint-Cloud";"Domaine national de Saint-Cloud 92210 Saint-Cloud";48.83630724,2.216018289
157;"Potager fruitier du château de La Roche-Guyon";"1 rue de l'Audience 95780 La Roche-Guyon";49.08095783,1.628622562
158;"Parc du château de Breteuil";"Château de Breteuil, Choisel 78460 Choisel";48.6800666,2.022836208
159;"Arboretum de Chèvreloup";"30 route de Versailles 78150 Rocquencourt";48.8309,2.1115
160;"Jardins de Kermoureau";"Kermoureau 44410 Herbignac";47.3939022,-2.366352752
161;"Jardin des Plantes";"rue Stanislas Baudry 44000 Nantes";47.21808566,-1.541814208
162;"Jardin du pin";"Château du Pin 49123 Champtocé-sur-Loire";47.42815803,-0.84931545
163;"Jardins du château de Gastines";"Gastines 49150 Fougeré";47.61815502,-0.146655142
164;"Parc et jardin de Clivoy";"Château de Clivoy 53420 Chailland";48.20686738,-0.862201452
165;"Jardins du château de Poncé";"8 route des Côteaux 72340 Poncé-sur-le-Loir";47.76265657,0.659136102
166;"Jardin de l’Isola / U giardinu di l’Isuli";"hameau de Sainte-Lucie-de-Porto-Vecchio 20124 Zonza";41.6654,9.3626
167;"Jardins de Brocéliande";"Les Mesnils 35310 Bréal-sous-Montfort";48.05395973,-1.889876425
168;"Jardin du Soleil Levant dans le parc botanique de Haute-Bretagne";"parc floral de Haute-Bretagne 35133 Châtellier";48.42979811,-1.26071468
169;"Parc et jardins du château de Chenonceau";"Château 37150 Chenonceau";47.32491963,1.070222855
170;"Roseraie des terrasses de l'évêché";"Place Saint-Louis 41000 Blois";47.58835806,1.336094141
171;"Parc du manoir de la Javelière";"10 route de la Javelière 45340 Montbarrois";48.04328029,2.409648299
172;"Parc floral de la Source";"avenue du Parc floral 45000 Orléans";47.8476,1.9377
173;"Jardin de la Chaux";"La Chaux 58230 Alligny-en-Morvan";47.22388544,4.139404893
174;"Parc et jardin du château";"Châtillon-en-Bazois 58110 Chatillon-en-Bazois";47.05220645,3.656221032
175;"Jardin du château Corbelin";"Château de Corbelin 58210 La Chapelle-Saint-André";47.38126546,3.331646919
176;"Jardin du château";"Château de Fontaine Française 21610 Fontaine-Française";47.52640221,5.368773937
177;"Jardin de la Serrée";"La Serrée 21540 Mesmont";47.30984172,4.763174057
178;"Les jardins du château de Drée";"Entre La Clayette et Charolles 71800 Curbigny";46.32062255,4.308432341
179;"Jardin de la Borde";"La borde 89130 Leugny";47.68497905,3.356945515
180;"Parc de l’Etang";"rue des Longeots 70100 Battrans";47.43200655,5.640599728
181;"Jardin « à la cude »";"3, rue de la Mairie 70240 Mailleroncourt-Charette";47.68449152,6.30526185
182;"Parc du château d’Arlay et jardin des jeux";"2 route de Proby 39140 Arlay";46.758959,5.537859
183;"Jardin Annabelle";"1 rue de Toytot 39290 Rainans";47.15453984,5.481335521
184;"Jardin du ""Clos-Ballot""";"4 rue des Clos 70140 Chancey";47.321,5.68419
185;"Jardin de la maison d’Édith";"59 chemin Commins 97417 La Montagne";-20.889679,55.40745
186;"Jardins de la Fontaine";"avenue Jean Jaurès 30000 Nîmes";43.83841462,4.349781945
187;"Bambouseraie de Prafrance";"Domaine de Prafrance 30140 Generargues";44.07270137,3.979443312
188;"Jardin public de la Motte";"Rue de la Motte 34130 Maugio";43.61,4.01
189;"Jardin antique méditerranéen";"rue des Pioch 34540 Balaruc-les-Bains";43.443619,3.68415
190;"Jardin de Paradis";"2 bis rue des Jardins 81170 Cordes-sur-Ciel";44.06509384,1.952884197
191;"Jardin du château de Bournazel";"rue Noire 12390 Bournazel";44.459302,2.297865
192;"Plateau des Poètes";"21 rue de la Rotonde 34500 Beziers";43.33681,3.22487
193;"Parc des ruines du château de Kintzheim";"92 rue de la Liberté 67600 Kintzheim";48.2524374,7.390011549
194;"Parc zoologique et botanique de Mulhouse Sud Grand-Est";"51 rue du Jardin botanique 68100 Mulhouse";47.73343543,7.349338531
195;"Parc et jardin du château de Barberey-Saint-Sulpice";"1 rue Danton 10600 Barberey-Saint-Sulpice";48.33650423,4.034659266
196;"Jardin botanique";"54 chemin des Gougins 10400 Marnay-sur-Seine";48.3,3.33
197;"Jardin du Prieuré";"6 rue du 8 mai 1945 10210 Pargues";48.03307215,4.197721481
198;"Parc des Roches";"parc des Roches 52150 Bourmont";48.190506,5.587636
199;"Le Grand Jardin";"5 avenue de la Marne 52300 Joinville";48.447408,5.141703
200;"Parc Sainte-Marie";"38 bis avenue du Maréchal Juin 54000 Nancy";48.68057664,6.17061764
201;"Jardin botanique du Montet";"100 rue du Jardin botanique 54600 Villers-les-Nancy";48.66279321,6.155862808
202;"Jardin des faïenciers";"125 avenue de la Blies 57200 Sarreguemines";49.12673277,7.080945969
203;"Jardins de l'abbaye Notre-Dame";"route de l'Abbaye 88700 Autrey";48.29645279,6.68819949
204;"Clos de Villeneuve";"chemin de l'Amiral de Villeneuve 04210 Valensole";43.83237235,5.978035033
205;"Vallon du Brec";"30 route de Lourméou 06140 Coursegoules";43.79249022,7.045505941
206;"Jardins d'Albertas";"RN 8 13320 Bouc-Bel-Air";43.45578791,5.403405279
207;"Jardin d'Eguilles de Max Sauze";"105 rue Paul Magallon 13510 Eguilles";43.57125023,5.353099108
208;"Jardin alpin du Lautaret";"Col du Lautaret 05480 Villar d'Arène";45.03598851,6.400008202
209;"Jardin Germaine L'Hardy-Denonain";"7 rue de la Tasco 83580 Gassin";43.22879643,6.585659981
210;"Jardin de Baudouvin";"rue des Gibelins 83160 La Valette-du-Var";43.14564197,5.983643532
211;"Jardin de la Louve";"chemin Saint-Gervais 84480 Bonnieux";43.82171708,5.306010246
212;"Jardin de la maison du Cygne";"100 avenue Maréchal de Lattre de Tassigny 83140 Six-Fours-les-Plages";43.096827,5.818509
213;"Harmas de Fabre";"445 route d’Orange 84830 Sérignan-du-Comtat";44.18839,4.84029
214;"Arboretum de Balaine";"Arboretum de Balaine 03460 Villeneuve-sur-Allier";46.696404,3.247397
215;"Parc du château Lafayette";"Le Bourg 43230 Chavaniac-Lafayette";45.15981449,3.581092358
216;"Jardins du château d'Hauterive";"avenue Ernest d'Hauterive 63500 Issoire";45.53862463,3.24352026
217;"Jardin zen d'Erik Borja";"530 chemin du Jardin zen 26600 Grange-lès-Beaumont";45.04364075,4.950010702
218;"Le Bois Marquis";"7 rue des Contancines 38150 Vernioz";45.43023237,4.883127809
219;"Jardin de l'écomusée des monts du Forez";"place Alex Folléas 42550 Usson-en-Forez";45.38933183,3.942045271
220;"Domaine de Segrez";"rue Alphonse Lavallée 91910 Saint-Sulpice-de-Favières";48.53941919,2.177288532
221;"Parc de Sceaux";"9 rue du Docteur Berger 92330 Sceaux";48.76759114,2.296644151
222;"La roseraie de Provins";"11, rue des prés 77160 Provins";48.56436802,3.294568062
223;"Parc de l'Abbaye de Royaumont";"Abbaye de Royaumont 95270 Asnières-sur-oise";49.14763637,2.381887436
