id;title;address;coordonnees
224;"Parc du château de Thoiry";"Rue du pavillon de Montreuil 78770 Thoiry";48.86476064,1.796350479
225;"Jardin-musée Bourdelle";"1 rue Dufet-Bourdelle 77620 Egreville";48.18436,2.85916
226;"Mosaïc, le jardin des cultures";"103, rue Guy Mocquet 59263 Houplin-Ancoisne";50.56,3
227;"Jardin du peintre Van Beek";"1 rue des Auges 60650 Saint-Paul";49.42089758,2.007333711
228;"Jardin du château de Digeon";"7 rue du Coq Gaulois 80290 Morvillers-Saint-Saturnin";49.76606232,1.8006742
229;"Parc et jardin du château de Conteval";"124 route Nationale 62360 La Capelle-les-Boulogne";50.68488,1.66228
230;"Jardins de Plantbessin";"Le Château 14490 Castillon";49.20614479,-0.798220038
231;"Parc et jardin du château d’Acquigny";"1 Rue Aristide Briand 27400 Acquigny";49.17,1.18
232;"Jardin des Musées des impressions de Giverny";"99 rue Claude Monet 27620 Giverny";49.0761294,1.531002894
233;"Parc du château de Saint-Just";"3 rue du potager 27950 Saint Just";49.10950068,1.433517337
234;"Jardins du donjon de Ballon";"2 rue du Château 72290 Ballon-Saint Mars";48.178034,0.232834
235;"Jardin d'atmosphère du Petit Bordeaux";"Le Petit Bordeaux 72220 Saint-Biez-en-Belin";47.80997,0.237769
236;"Domaine de Valombreuse";"3 chemin de Valombreuse – Cabout 97170 Petit Bourg";16.18683644,-61.59444898
237;"Jardin du château de Touffou";"Château de Touffou 86300 Bonnes";46.616652,0.590063
238;"Jardins du château de Caudon";"Domme 24250 Domme";44.76454581,1.202638149
239;"Jardins de la chartreuse du Colombier";"Chartreuse du Colombier 24510 Paunat";44.905952,0.859036446
240;"Jardin du manoir d'Eyrignac";"Manoir d’Eyrignac 24590 Salignac-Eyvigues";44.93973426,1.315001249
241;"Les jardins du Logis de Forge";"Forge 16440 Mouthiers-sur-Boëme";45.56070247,0.125951171
242;"Les Fontaines Bleues du château de Beaulon";"25 rue Saint-Vincent 17240 Saint-Dizant du Gua";45.43384629,-0.704498291
243;"Jardins du phare de Chassiron";"Phare de Chassiron 17650 Saint-Denis d'Oléron";46.04667504,-1.410219669
244;"Les jardins de Sothys";"10 rue Bernard Mas 19220 Auriac";45.2041,2.14944
245;"Les jardins de Cadiot";"Camp-Redon 24370 Carlux";44.5239,1.2134
246;"Jardin d'Arsac";"Lieu-dit Arsac 19200 Saint-Fréjoux";45.32271,2.23294
247;"Parc et jardin du château de Rosanbo";"Château de Rosanbo 22420 Lanvellec";48.62591689,-3.552811146
248;"Jardin des simples de l'abbaye de Daoulas";"21 rue de l'Eglise 29460 Daoulas";48.36239766,-4.265651107
249;"Jardin du prieuré de Locmaria";"place Bérardier 29000 Quimper";47.9882,-4.112
250;"Jardin Rocambole";"La Lande aux Pitois 35150 Corps-Nuds";47.9793519,-1.6102305
251;"Jardin de la rue au Lin";"16 rue au Lin 22570 Gouarec";48.226081,-3.17909
252;"Le Jardin de Marie";"chemin de l’Avoinerie 18250 Neuilly-en-Sancerre";47.29372,2.67488
253;"Jardins du château d'Ainay-le-Vieil";"7 rue du Château Neuf 18200 Ainay-le-Vieil";46.66793368,2.549729347
254;"Parc d'Azay-le-Ferron";"rue Charles Brillaud 36290 Azay-le-Ferron";46.85134836,1.069591194
255;"Domaine de Poulaines";"Lieu-dit ""Le Château"" 36210 Poulaines";47.15333236,1.667132378
256;"Parcs et jardins du château de Valmer";"Valmer 37210 Chançay";47.45731525,0.886459351
257;"Jardins du château de Villandry";"Château de Villandry 37510 Villandry";47.34045127,0.514554977
258;"Parc du château de Jussy";"château de Jussy 18130 Jussy-champagne";46.92723,2.60397
259;"Jardin de l'abbaye de Fontfroide";"Abbaye de Fontfroide - D 613 11100 Narbonne";43.12736881,2.898539901
260;"Parc de Flaugergues";"1744 avenue Albert Einstein 34000 Montpellier";43.60981837,3.919485211
261;"Jardin des carrières de Saint-Adrien";"RN 113 34290 Servian";43.39785893,3.325733989
262;"Parc et jardin du château de Margon";"rue des Banastes 34320 Margon";43.4864371,3.307161033
263;"Parc aux bambous";"Broques 09500 Lapenne";43.145869,1.730409
264;"Jardin de l'abbaye de Combelongue";"Abbaye de Combelongue 09420 Rimont";42.988,1.27639
265;"Palmeraie du Sarthou";"Au Sarthou 32110 Betous";43.7140254,0.032411
266;"Jardin japonais de Compans-Cafarelli";"rue Ozenne 31000 Toulouse";43.612077,1.432321
267;"Jardin Massey";"rue Massey 65000 Tarbes";43.2373245,0.076560974
268;"Jardins secrets";"Boulevard Gambetta 46000 Cahors";44.45660144,1.439042687
269;"Jardin des Martels";"Les Martels 81500 Giroussens";43.74961225,1.786538959
270;"Les jardins de Quercy";"Cambou 82330 Verfeil-sur-Seye";44.17271657,1.881821752
271;"Jardin d’En Galinou";"En Galinou 31460 Caraman";43.52708,1.78253
272;"Le parc de Barbieux";"avenue Jean Jaurès/avenue Le Nôtre 59100 Roubaix";50.678691,3.161981
273;"Le jardin des Lianes";"8 rue des Capucins 62140 Chériennes";50.31272884,2.051986456
274;"Jardins du manoir d'Hénocq";"7 rue de la Creuse 62170 Bréxent-Énocq";50.51,1.73
275;"Jardins du château";"3 rue de l'Eglise 02120 Puisieux-Clanlieu";49.87013913,3.647236973
276;"Jardins du château de Viels-Maisons";"11 place du Marché 02540 Viels-Maisons";48.895548,3.396919
277;"Roseraie de l'abbaye de Chaalis";"Musée Jacquemart André 60300 Fontaine-Chaalis";49.18745374,2.621397972
278;"Jardin Henri Le Sidaner";"7 rue Henri Le sidaner 60380 Gerberoy";49.53321568,1.849249676
279;"Jardin d’Emonville";"place Clémenceau 80100 Abbeville";50.10547663,1.836830378
280;"Jardin du château de Maizicourt";"29 route d'Amiens 80370 Maizicourt";50.15582713,2.126508951
281;"Jardins du château de la Batisse";"route de Varennes 63450 Chanonat";45.69186,3.084277
282;"Jardins du château de Cordès";"Route d'Orcival  Château de Cordès 63210 Orcival";45.70222318,2.839407921
283;"Jardin du château de Saint-Bernard";"152 avenue Suzanne Valadon 01600 Saint-Bernard";45.94480552,4.732521772
284;"Les jardins des pins";"Château du Pin 07380 Fabras";44.64863546,4.290273786
285;"Parc de la Tête d'Or";"Parc de la Tête d'Or 69006 Lyon";45.77740768,4.855226129
286;"Parc Jouvet";"avenue de la Comète 26000 Valence";44.92956445,4.885482788
287;"Parc du château du Touvet";"allée du château 38660 Le Touvet";45.36348282,5.946582109
288;"Jardin botanique";"4 chemin du Jardin botanique 42400 Saint-Chamond";45.466843,4.529454
289;"Potager fleuri du château de Lantilly";"Lantilly 21140 21140 Lantilly";47.4892258,4.334720671
290;"Parc du château d'Ouge";"1-3 rue du Colombier 70500 Ouge";47.7970057,5.704436302
291;"Mascarin Jardin botanique de la Réunion";"2 rue du Père Georges 97436 Saint-Leu";-21.1374,55.2954
292;"Jardin de l’habitation Céron";"Anse Ceron 97250 Prêcheur";14.83,-61.21
293;"Parc de Saleccia";"Route de Bastia 20220 Monticello";42.635048,8.977933
294;"Jardin du château de Kolbsheim";"21 rue de la Division Leclerc 67120 Kolbsheim";48.56104506,7.58394599
295;"Jardin de la ferme bleue";"21 rue Principale 67110 Uttenhoffen";48.89173197,7.655432224
296;"Parc de Schoppenwihr";"D18 68126 Bennwihr-Gare";48.13451841,7.320531607
297;"Jardin du Temps";"81 rue des Vosges 68110 Illzach";47.77935949,7.358007431
298;"Parc et jardin du château de la Motte-Tilly";"Château de la Motte-Tilly 10400 La Motte-Tilly";48.46712745,3.431527689
299;"Jardin de l'Hôtel de Ville";"7 bis avenue de Champagne 51200 Epernay";49.04337303,3.958430886
300;"Parc du château Gerbéviller";"Gerbéviller 54830 Gerbéviller";48.49463776,6.511368155
301;"Jardin Godron";"rue Sainte-Catherine 54000 Nancy";48.69481701,6.189152375
302;"Parc de la Varenne";"9 rue Victor Petin 55000 Haironville";48.68710746,5.083392262
303;"Parc de la Grange-aux-Champs";"Château de La Grange aux Champs 55800 Nettancourt";48.87976513,4.938536882
304;"Jardins fruitiers de Laquenexy";"4 rue Bourger et Perrin 57530 Laquenexy";49.076389,6.310484111
305;"Jardin d'Ode";"route de Martigny-les-Bains 88140 Saint-Ouen-les-Parey";48.18004458,5.763931721
306;"Parc et jardin de l'Abrègement";"L'Abrègement 16700 Bioussac";46.028264,0.279999
307;"Jardin de l'Albarède";"L’Albarède 24250 Saint-Cybranet";44.79224036,1.16083324
308;"Jardins du château de Losse";"Route des Eyzies 24290 Thonac";45.02191521,1.116083264
309;"Jardins du Sardy";"7, route de Sardy 24230 Vélines";44.85727581,0.114339888
310;"Jardin du Fond de l'or";"7 rue Saint Exupéry 33240 Lugon";44.95687987,-0.354191065
311;"Parc du Sarrat";"rue du Sel Gemme 40100 Dax";43.70027176,-1.049365997
312;"Jardin de nénuphars des pépinières Latour-Marliac";"Le Bourg 47110 Temple-sur-Lot";44.37758503,0.526425093
313;"Villa Arnaga";"route du Docteur Camino 64250 Cambo-les-Bains";43.36688066,-1.415889859
314;"Jardin du Chaigne";"Le Chaigne 16120 Bellevigne";45.54725798,-0.1343894
315;"Arboretum du chemin de la découverte";"Mairie de Melle 79500 Melle";46.20847697,-0.110244155
316;"Parc du château de Marrast";"2277 avenue de l’Océan 40270 Bordères-et-Lamensans";43.4626,0.2146
317;"Parc et jardin du Mas Maury";"Le Mas Maury Haut 87120 Rempnat-la-Villeneuve";45.677244,1.838006
318;"Jardin du Pellinec";"1 Pellinec 22710 Penvénan";48.8285,-3.2941
319;"Parc et jardins du château de La Roche-Jagu";"La Roche Jagu 22260 Ploërzal";48.73306842,-3.151230812
320;"Jardin du conservatoire botanique national de Brest";"52 allée du Bot 29200 Brest";48.40574138,-4.450015426
321;"Parc du château de Trévarez";"route de Laz 29520 Saint-Goazec";48.15266331,-3.806617856
322;"Jardins du château de la Ballue";"Château de la Ballue 35560 Bazouges-la-Pérouse";48.443579,-1.538608
323;"L'Athanor et jardin médiéval de la Fontaine de vie au château de Bois-Orcan";"Château du Bois-Orcan 35530 Noyal-sur-Vilaine";48.064,-1.5008
324;"Parc du château de la Bourbansais";"137 Route nationale 35720 Pleugueneuc";48.404377,-1.896968
325;"Jardin de Kerfouler";"Kerfouler 22260 Plouëc-du-Trieux";48.674113,-3.175362
326;"Jardin de l'ancienne abbaye de Valsaintes";"Boulinette 04150 Simiane-la-Rotonde";43.95782344,5.592191219
327;"Jardin botanique de la Villa Thuret";"90 chemin Raymond 06160 Antibes";43.56350759,7.124376297
328;"Arboretum Marcel Kroenlein";"Mairie 06420 Roure";44.08984485,7.087453008
329;"Jardin du Las";"chemin du Jonquet 83000 Toulon";43.14,5.9
330;"Parc Gonzalez";"134 boulevard du Soleil 83230 Bormes-les-Mimosas";43.09,6.2043
331;"Jardin de La Gravière";"74 avenue des anciens combatants d'AFN 83390 Pierrefeu du Var";43.221532,6.141143
332;"Jardin du château de Val Joanis";"Château Val Joanis 84120 Pertuis";43.71125404,5.468916893
333;"Bambous en Provence";"Petit Mas de l'Hermite 13630 Eyrargues";43.8466,4.81036
334;"Parc du château de Courances";"rue du Château 91490 Courances";48.44150793,2.470078468
335;"Jardin du domaine national du Palais Royal";"Palais-Royal 75001 Paris";48.86424188,2.337470055
336;"Domaine national de Fontainebleau";"Place du Général de Gaulle 77300 Fontainebleau";48.40201269,2.699525356
337;"Domaine de Villarceaux";"Route de Magny 95710 Chaussy";49.12305547,1.705848724
338;"Domaine d’Ambleville";"1, rue de la Mairie 95710 Ambleville";49.15056975,1.696529388
339;"Parc floral de Paris";"route de la Pyramide 75012 Paris";48.8377,2.4445
340;"Jardins des murs à pêches";"8 impasse Gobetue 93100 Montreuil";48.8635,2.455
341;"Les Prés Fichaux";"avenue de la République 18000 Bourges";47.08882559,2.396392822
342;"Le Pré Catelan";"route de Tansonville 28120 Illiers-Combray";48.29741279,1.239480972
343;"Jardins du château de Bouges";"15 rue du Château 36110 Bouges-le-Château";47.04222934,1.672797203
344;"Village-jardin de Chédigny";"Village 37310 Chédigny";47.20895729,0.999455452
345;"Les jardins du château du Rivau";"Le Coudray 37120 Léméré";47.10290752,0.32353878
346;"Jardin du Plessis Sasnières";"Le Château 41310 Sasnières";47.7189545,0.932199061
347;"Les jardins de Roquelin";"Roquelin 45130 Meung-sur-Loire";47.82502693,1.708416939
348;"Jardin du château royal d’Amboise";"Montée de l’Emir Abd el Kader 37400 Amboise";47.41305,0.98577
349;"Parc du château des Ravalet";"avenue du Château 50110 Cherbourg-en-Cotentin";49.6298,-1.5667
350;"Jardin botanique";"Château de Vauville 50440 Vauville";49.63424388,-1.846016943
351;"Parc du château du Champ de la Pierre";"D555 61320 Champ-de-la-Pierre (Le)";48.608429,-0.2044989
352;"Parc de Galleville";"Château de Galleville 76560 Doudeville";49.731026,0.789542
353;"Jardin de Miromesnil";"Château de Miromesnil 76550 Tourville-sur-Arques";49.86138571,1.081831455
354;"Jardin retiré";"14 avenue Robert Cousin 61140 Bagnoles-de-l'orne";48.5591,-0.4203
355;"Jardins de la Pellerine";"La Larderie 53220 Pellerine";48.31759635,-1.040992141
356;"Parc et jardins du château du Lude";"Château du Lude 72800 Lude";47.64748,0.158806
357;"Jardins du château de Villaines";"route de Sablé 72210 Louplande";47.943875,0.03935
358;"Jardin de Mazet";"Mazet Pailhès 30170 Monoblet";44.01007081,3.859874457
359;"Jardin du Tomple";"Le Tomple 30450 Concoules";44.36292602,3.951151371
360;"Jardin et arboretum de Coursiana";"La Bourdette 32480 La Romieu";43.97725029,0.492675528
361;"Jardin de l’ancien couvent de Meyronne";"Ancient couvent 46200 Meyronne";44.879122,1.577041
362;"Jardin du Palais de la Berbie";"rue de l'Hôtel de Ville 81000 Albi";43.92948039,2.132887244
363;"Jardin de l'évêché";"Hôtel de Ville 81100 Castres";43.6,2.24
364;"Jardin méditerranéen";"rue de la Tour 34460 Roquebrun";43.501,3.03025
365;"Les jardins de Séricourt";"2 rue du Bois 62270 Séricourt";50.29760625,2.312004492
366;"Parc et jardin de Bosmont";"L'île aux quatre pigeonniers 02250 Bosmont-sur-Serre";49.73303202,3.857362568
367;"Jardin du château de La Muette";"2 rue du Château 02600 Largny-sur-Automne";49.260719,3.036343
368;"Jardin et parc du château de Chantilly";"Château de Chantilly 60500 Chantilly";49.19328932,2.485812306
369;"Parc de Valgenceuse";"18 route de Nanteuil 60300 Senlis";49.20062795,2.600250095
370;"Jardins de l'abbaye de Valloires";"Valloires 80120 Argoules";50.34730898,1.819294095
371;"Parc du château d'Arcelot";"1 rue du Colombier – Arcelot 21310 Arceau";47.36805663,5.193196535
372;"Abbaye de Fontenay";"Abbaye de Fontenay 21500 Marmagne";47.63958619,4.389102459
373;"Jardin du château de Talmay";"Château de Talmay 21270 Talmay";47.35608009,5.435228348
374;"Parc et jardin du château de Bournel";"Château de Bournel 25680 Cubry";47.489369,6.416352
375;"Jardin anglais";"2 rue Pierre de Coubertin 70000 Vesoul";47.3719,6.1003
376;"Jardin des plantes";"5 place Blot 14000 Caen";49.189326,-0.372088
377;"Parc du château de Boutemont";"Boutemont 14100 Ouilly-le-Vicomte";49.18935402,0.221813321
378;"Parc du château de Vendeuvre";"Musée et jardins du château de Vendeuvre 14170 Vendeuvre";48.98707146,-0.078690648
379;"Parc du domaine de Beaurepaire";"Beaurepaire 50690 Martinvast";49.59010668,-1.658074558
380;"Jardin Jacques Prévert";"Vallée des moulins 50440 Saint-Germain-des-Vaux";49.65666213,-1.841583252
381;"Parc du domaine de Nacqueville";"1 Route du Chateau  La Rivière 50460 Urville-Nacqueville";49.6742484,-1.73656404
382;"Parc du château de Lorière";"La Rouge 61260 Rouge (La)";48.28575234,0.707051754
383;"Jardin du château de Sassy";"Jardins de Sassy 61570 Saint-Christophe-le-Jajolet";48.65565327,0.000451
384;"Jardin de l'abbaye Saint-Georges";"place de l'Abbaye 76840 Saint-Martin-de-Boscherville";49.44843,0.966772
385;"Jardins suspendus";"rue du Fort 76600 Le Havre";49.50332096,0.094443262
386;"Jardin intérieur à ciel ouvert";"6 chemin du Lavoir 61430 Athis-de-l'Orne";48.4836,0.3009
387;"Les jardins d'Étretat";"avenue Damilaville 76790 Étretat";49.7108,0.2059
388;"Parc du château de la Napoule";"avenue Henri Clews 06210 Mandelieu-la-Napoule";43.5238197,6.942044422
389;"La citronneraie";"69 corniche André Tardieu 06500 Menton";43.79580289,7.487826347
390;"Jardin botanique exotique du Val Rahmeh";"avenue Saint-Jacques 06500 Menton";43.78330246,7.511966228
391;"Parc Phoenix";"avenue Charles Buchet 06200 Nice";43.66931509,7.21791029
392;"Jardins Ephrussi de Rothschild";"1 avenue Ephrussi de Rothschild 06230 Saint-Jean-Cap-Ferrat";43.69645589,7.328442112
393;"Parc du 26° Centenaire";"Rond Point Zino Francescatti 13010 Marseille";43.28059231,5.394947603
394;"Domaine de Charance";"Domaine de Charance 05000 Gap";44.57607936,6.054050177
395;"Jardin du Castel Sainte-Claire";"avenue Edith Wharton 83400 Hyères";43.12092414,6.122539043
396;"Jardin zoologique tropical";"route de Valcros 83250 La Londe Les Maures";43.14765666,6.255009323
397;"Domaine d'Orvès";"avenue de la Libération 83160 La Valette-du-Var";43.14303668,5.989015326
398;"Jardin de la Commanderie Peyrassol";"route nationale 7 83340 Flassans-sur-Issole";43.224679,6.154935
399;"Pavillon de Galon";"route de Galon 84160 Cucuron";43.77396028,5.451655537
400;"Domaine de Brantes";"157 chemin de Brantes 84700 Sorgues";44.00023886,4.877074733
401;"Jardin du Palais Carnolès";"3 avenue de la Madone 06500 Menton";43.76655803,7.488018796
402;"Parc de Courson";"Domaine de Courson 91680 Courson-Monteloup";48.59999802,2.146883011
403;"Parc du château de Vaux-le-Vicomte";"Domaine de Vaux le Vicomte 77950 Maincy";48.54536456,2.717571259
404;"Roseraie du Val-de-Marne";"rue Albert Watel 94240 L'Haÿ-les-Roses";48.776257,2.334602773
405;"Domaine national de Rambouillet";"Place de la Libération ou Grille de la Motte 78120 Rambouillet";48.64073587,1.812057495
406;"Potager du roi";"10 rue du Maréchal Joffre 78000 Versailles";48.79887824,2.123494148
407;"Jardin des Tuileries";"rue de rivoli 75001 Paris";48.8634,2.3275
408;"Jardin du musée de l'outil";"2 rue de la Mairie 95420 Wy-dit-Joli-Village";49.1029,1.8348
409;"Arboretum de la Vallée-aux-Loups";"102 rue Chateaubriand 92290 Chatenay-Malabry";48.7734,2.2677
410;"Jardins d'eau de Saint-Rome";"Saint-Rome 24200 Carsac-Aillac";44.83,1.27
411;"Jardins de La Roche Courbon";"Domaine de la Roche Courbon 17250 Saint-Porchaire";45.835527,-0.781149
412;"Arboretum Al Gaulhia";"Ceyrat 19140 Espartignac";45.4002,1.5874
413;"Parc du château des Milandes";"Les Milandes 24250 Castelnaud-la-Chapelle";44.4923,1.6481
414;"Jardin Val Maubrune";"Le Petit Mas 23000 La Brionne";46.16857,1.78704
415;"Parc agricole et paysager du Chédal";"Chemin du Chédal 19230 Ségur-le-Château";45.4320189,1.3015813
416;"Jardin du château du Pierrail";"1 Le Pierrail 33220 Margueron";44.7722,0.2676
417;"Jardin de l'Escalier";"10 rue de Pfaffenhoffen 67170 06 08 69 55 68";48.73682938,7.708623111
418;"Domaine du Windeck";"51 rue Principale 67530 Otrott";48.45866494,7.427916527
419;"Jardin de Vergentière";"14 rue Candrée 52600 Cohons";47.78847889,5.342230797
420;"Jardin de l'horticulture";"5 bis rue du Comte de Lambertye 51200 Epernay";49.03332416,3.950963616
421;"Parc de Champagne";"10 avenue du Général Giraud 51100 Reims";49.24076,4.055797
422;"Le Clos de Saint-Saturnin";"2, Place de la Mairie 51260 Saint-Saturnin";48.61351372,3.902923241
423;"Jardin du château de Pange";"Rue des Tilleuls 57530 Pange";49.08345158,6.353831291
424;"Parc oriental";"route de Mauléon 49360 Maulévrier";47.00569525,-0.74457787
425;"Jardins du Mirail";"Château du Mirail 72540 Crannes-en-Champagne";47.98856455,-0.045243502
426;"Jardins du Bâtiment";"Le Bâtiment 85210 Thiré";46.55285028,-1.012132242
427;"Jardin du Manoir de Favry";"Manoir de Favry 53340 Préaux";47.9333,0.466667
428;"Parc du domaine royal de Randan";"place Adélaïde d'Orléans 63310 Randan";46.01511484,3.357798457
429;"La Bonne Maison";"99 chemin de Fontanières 69350 La Mulatière";45.74189703,4.808973446
430;"Parc de Gerland";"avenue Pierre de Coubertin 69007 Lyon";45.72223684,4.823160991
431;"Pépinières et roseraies Paul Croix";"2 boulevard d'Almandet 42220 Bourg-Argental";45.29846003,4.569403231
432;"Jardin de l'écomusée de la Guadeloupe";"Domaine de Lantour Santeil 97115 Sainte-Rose";16.31519705,-61.70479774
433;"Jardin de l’habitation Saint-Etienne";"Habitation St Etienne 97213 Gros-Morne";14.686218,-61.006147
434;"Jardin du Grand Launay";"Le Grand Launay 22480 Lanrivain";48.37204506,-3.210668564
435;"Jardin du Botrain";"Le Botrain 22530 Mûr-de-Bretagne";48.20183789,-2.93307066
436;"Jardin Georges Delaselle";"Penn Batz 29253 Ile de Batz";48.738956,-3.992465
437;"Jardin exotique et botanique";"Lieu-dit Ruveic 29680 Roscoff";48.7162,-3.9699
438;"Parc du château de Bois Cornillé";"Parc du Bois Cornillé 35450 Val d’Izé";48.193824,-1.299369
439;"Parc du château de Pesselières";"Pesselières 18300 Jalognes";47.21525408,2.778768539
440;"Les Prébendes d'Oé";"rue Roger Salengro 37000 Tours";47.38498484,0.684242249
441;"Domaine régional de Chaumont-sur-Loire";"Domaine de Chaumont-sur-Loire 41150 Chaumont-sur-Loire";47.47924734,1.181674004
442;"Arboretum des Grandes Bruyères";"Arboretum des Grandes Bruyères 45450 Ingrannes";47.99091614,2.211038768
443;"Potager du jardin du château de La Bussière";"Château de La Bussière  La Bussière 45230 Bussière";47.74728833,2.74769783
444;"Jardin arboretum d’Ilex";"La Nivelle 45130 Meung-sur-Loire";47.84285925,1.70260191
445;"Arboretum national des Barres";"Domaine des Barres 45290 Nogent-sur-Vernisson";47.83939914,2.75143683
446;"Parc Bordelais";"rue du Bocage, 33000, Bordeaux, Gironde, Nouvelle Aquitaine, France";44.852169,-0.59969
447;"Jardin public";"place du Champ de Mars, 33000, Bordeaux, Gironde, Nouvelle Aquitaine, France";44.847309,-0.5789
448;"Jardin botanique de Deshaies";"Mairie de Deshaies, Deshaies, Guadeloupe, France";16.306936,-61.794319
